HomeTeam,AwayTeam,FTHG,FTAG,FTR
Juventude,Vasco,2,0,H
Sao Paulo,Flamengo,0,0,D
Parana,Figueirense,1,2,A
Juventude,Nautico,1,1,D
Vasco,Athletico-PR,1,0,H
Santos,Botafogo-RJ,3,0,H
Sport,Atletico-MG,2,0,H
Gremio,Palmeiras,1,1,D
Cruzeiro,Goias,2,1,H
America-RN,Internacional,1,2,A
Corinthians,Sao Paulo,1,1,D
Figueirense,Sport,0,1,A
Atletico-MG,America-RN,4,1,H
Athletico-PR,Juventude,4,0,H
Internacional,Corinthians,3,0,H
Nautico,Cruzeiro,1,4,A
Sao Paulo,Fluminense,0,1,A
Flamengo,Parana,1,2,A
Goias,Gremio,0,0,D
Palmeiras,Santos,2,2,D
Botafogo-RJ,Juventude,3,1,H
Atletico-MG,Fluminense,3,0,H
Sao Paulo,Sport,3,1,H
Juventude,Internacional,2,0,H
America-RN,Athletico-PR,2,1,H
Vasco,Atletico-MG,4,0,H
Corinthians,Nautico,0,3,A
Fluminense,Goias,3,0,H
Gremio,Flamengo,1,0,H
Cruzeiro,Sao Paulo,1,2,A
Parana,Palmeiras,1,0,H
Sport,Botafogo-RJ,3,3,D
Santos,Figueirense,3,1,H
Athletico-PR,Cruzeiro,2,2,D
Goias,Santos,1,0,H
Nautico,Gremio,0,2,A
Flamengo,America-RN,3,1,H
Palmeiras,Vasco,3,2,H
Figueirense,Corinthians,2,2,D
Internacional,Parana,1,0,H
Santos,Nautico,1,2,A
Vasco,Goias,4,1,H
Gremio,Athletico-PR,1,1,D
Corinthians,Flamengo,2,2,D
Parana,Atletico-MG,1,3,A
Juventude,Palmeiras,1,1,D
Sport,Internacional,1,5,A
Cruzeiro,Botafogo-RJ,3,2,H
America-RN,Sao Paulo,0,1,A
Fluminense,Figueirense,1,1,D
Nautico,Fluminense,0,0,D
Goias,Parana,2,0,H
Palmeiras,Sport,1,2,A
Botafogo-RJ,America-RN,4,2,H
Atletico-MG,Santos,1,2,A
Athletico-PR,Corinthians,2,2,D
Internacional,Vasco,0,2,A
Sao Paulo,Juventude,3,1,H
Figueirense,Gremio,1,0,H
Sport,Athletico-PR,3,2,H
America-RN,Nautico,1,5,A
Corinthians,Goias,1,0,H
Santos,Flamengo,3,0,H
Cruzeiro,Internacional,3,2,H
Fluminense,Palmeiras,0,1,A
Juventude,Atletico-MG,1,2,A
Gremio,Sao Paulo,0,2,A
Vasco,Figueirense,2,2,D
Parana,Botafogo-RJ,0,0,D
Cruzeiro,Sport,2,0,H
Juventude,Fluminense,0,0,D
Nautico,Figueirense,4,2,H
Goias,Atletico-MG,3,2,H
Athletico-PR,Flamengo,2,0,H
Botafogo-RJ,Sao Paulo,0,2,A
Vasco,Corinthians,2,0,H
Gremio,America-RN,3,0,H
Palmeiras,Internacional,1,1,D
Santos,Parana,2,0,H
Sport,Juventude,3,0,H
Sao Paulo,Athletico-PR,2,0,H
Flamengo,Nautico,2,1,H
Corinthians,Gremio,2,1,H
Atletico-MG,Palmeiras,1,2,A
Figueirense,Botafogo-RJ,1,1,D
Internacional,Goias,1,0,H
America-RN,Cruzeiro,1,2,A
Fluminense,Santos,3,0,H
Parana,Vasco,0,0,D
Botafogo-RJ,Corinthians,2,3,A
Fluminense,Flamengo,0,1,A
Santos,Sport,2,0,H
Athletico-PR,Figueirense,1,1,D
Gremio,Parana,2,0,H
Palmeiras,Flamengo,2,1,H
Nautico,Atletico-MG,0,1,A
Juventude,Corinthians,2,2,D
Vasco,America-RN,2,0,H
Botafogo-RJ,Internacional,1,1,D
Cruzeiro,Fluminense,4,2,H
Goias,Sao Paulo,0,0,D
Flamengo,Juventude,4,0,H
Corinthians,Cruzeiro,0,3,A
Fluminense,Gremio,1,1,D
Internacional,Athletico-PR,1,0,H
Atletico-MG,Botafogo-RJ,1,2,A
Sao Paulo,Nautico,5,0,H
Parana,Juventude,3,1,H
Figueirense,Palmeiras,1,2,A
America-RN,Santos,1,4,A
Sport,Vasco,0,0,D
Flamengo,Goias,3,1,H
Parana,Cruzeiro,2,2,D
Juventude,Goias,2,0,H
Botafogo-RJ,Flamengo,1,1,D
Figueirense,America-RN,3,1,H
Palmeiras,Sao Paulo,0,1,A
Atletico-MG,Corinthians,5,2,H
Sport,Gremio,2,0,H
Internacional,Fluminense,1,4,A
Santos,Athletico-PR,3,1,H
Vasco,Nautico,4,1,H
Sao Paulo,Parana,6,0,H
Flamengo,Sport,1,1,D
America-RN,Juventude,0,3,A
Corinthians,Santos,2,0,H
Cruzeiro,Palmeiras,5,0,H
Athletico-PR,Atletico-MG,1,0,H
Gremio,Botafogo-RJ,3,0,H
Goias,Figueirense,2,1,H
Fluminense,Vasco,1,1,D
Nautico,Internacional,1,1,D
Corinthians,America-RN,1,0,H
Goias,Athletico-PR,2,3,A
Flamengo,Figueirense,4,1,H
Juventude,Cruzeiro,1,0,H
Santos,Internacional,2,1,H
Atletico-MG,Sao Paulo,0,0,D
Gremio,Vasco,3,1,H
Parana,Nautico,2,4,A
Botafogo-RJ,Palmeiras,1,1,D
Sport,Fluminense,0,2,A
Figueirense,Atletico-MG,2,1,H
Internacional,Flamengo,3,0,H
Vasco,Sao Paulo,0,2,A
Cruzeiro,Gremio,2,0,H
Santos,Juventude,1,0,H
Nautico,Botafogo-RJ,4,1,H
Parana,Corinthians,1,0,H
Fluminense,Athletico-PR,2,0,H
America-RN,Sport,1,1,D
Palmeiras,Goias,2,0,H
Flamengo,Cruzeiro,3,1,H
Goias,Nautico,0,3,A
Fluminense,America-RN,2,0,H
Sao Paulo,Santos,2,1,H
Corinthians,Botafogo-RJ,0,1,A
Athletico-PR,Palmeiras,2,1,H
Sport,Parana,3,1,H
Atletico-MG,Cruzeiro,3,4,A
Figueirense,Juventude,4,1,H
Flamengo,Vasco,1,1,D
Gremio,Internacional,1,0,H
Sao Paulo,Figueirense,2,0,H
Gremio,Santos,1,0,H
Goias,America-RN,1,1,D
Juventude,Flamengo,2,2,D
Nautico,Sport,2,0,H
Palmeiras,Corinthians,1,0,H
Atletico-MG,Internacional,2,2,D
Athletico-PR,Parana,2,1,H
Botafogo-RJ,Fluminense,0,2,A
Vasco,Cruzeiro,0,2,A
Nautico,Athletico-PR,5,0,H
Corinthians,Sport,1,2,A
Flamengo,Atletico-MG,1,0,H
Santos,Vasco,1,0,H
Botafogo-RJ,Goias,0,3,A
Internacional,Sao Paulo,1,2,A
Juventude,Gremio,1,2,A
Cruzeiro,Figueirense,1,2,A
America-RN,Palmeiras,0,0,D
Parana,Fluminense,3,1,H
Palmeiras,Nautico,2,1,H
Sport,Goias,4,0,H
Gremio,Atletico-MG,2,2,D
Vasco,Juventude,0,1,A
Athletico-PR,Botafogo-RJ,2,0,H
Fluminense,Corinthians,1,1,D
Cruzeiro,Santos,0,1,A
Flamengo,Sao Paulo,1,0,H
America-RN,Parana,3,2,H
Figueirense,Internacional,0,0,D
Palmeiras,Gremio,2,0,H
Botafogo-RJ,Santos,1,2,A
Nautico,Juventude,4,1,H
Sao Paulo,Corinthians,0,1,A
Athletico-PR,Vasco,1,0,H
Atletico-MG,Sport,3,1,H
Internacional,America-RN,2,0,H
Goias,Cruzeiro,0,0,D
Figueirense,Parana,4,0,H
Flamengo,Fluminense,0,2,A
Sport,Figueirense,0,0,D
Cruzeiro,Nautico,2,2,D
Juventude,Athletico-PR,0,0,D
Corinthians,Internacional,1,1,D
Parana,Flamengo,0,1,A
Fluminense,Sao Paulo,1,1,D
America-RN,Atletico-MG,0,1,A
Santos,Palmeiras,1,1,D
Gremio,Goias,2,1,H
Vasco,Botafogo-RJ,2,1,H
Vasco,Flamengo,1,2,A
Palmeiras,Parana,3,0,H
Goias,Fluminense,5,3,H
Botafogo-RJ,Sport,3,1,H
Nautico,Corinthians,1,0,H
Atletico-MG,Vasco,1,0,H
Sao Paulo,Cruzeiro,1,0,H
Athletico-PR,America-RN,2,0,H
Figueirense,Santos,1,0,H
Internacional,Juventude,3,0,H
Flamengo,Gremio,2,0,H
Fluminense,Atletico-MG,1,1,D
Cruzeiro,Athletico-PR,1,1,D
Santos,Goias,3,0,H
Sport,Sao Paulo,1,2,A
America-RN,Flamengo,0,1,A
Gremio,Nautico,4,3,H
Corinthians,Figueirense,2,1,H
Parana,Internacional,1,0,H
Juventude,Botafogo-RJ,1,1,D
Vasco,Palmeiras,2,2,D
Athletico-PR,Gremio,2,0,H
Figueirense,Fluminense,0,2,A
Atletico-MG,Parana,0,0,D
Goias,Vasco,2,3,A
Nautico,Santos,1,2,A
Flamengo,Corinthians,2,1,H
Sao Paulo,America-RN,3,0,H
Botafogo-RJ,Cruzeiro,4,1,H
Palmeiras,Juventude,0,1,A
Internacional,Sport,0,0,D
Parana,Goias,1,0,H
Fluminense,Nautico,2,1,H
Gremio,Figueirense,1,2,A
Santos,Atletico-MG,2,2,D
Cruzeiro,Flamengo,3,1,H
Corinthians,Athletico-PR,2,2,D
America-RN,Botafogo-RJ,1,1,D
Sport,Palmeiras,3,1,H
Vasco,Internacional,1,2,A
Juventude,Sao Paulo,2,0,H
Botafogo-RJ,Parana,3,2,H
Nautico,America-RN,4,0,H
Internacional,Cruzeiro,1,0,H
Goias,Corinthians,1,1,D
Figueirense,Vasco,3,3,D
Athletico-PR,Sport,0,0,D
Atletico-MG,Juventude,4,1,H
Sao Paulo,Gremio,1,0,H
Flamengo,Santos,1,0,H
Palmeiras,Fluminense,1,0,H
America-RN,Gremio,0,3,A
Fluminense,Juventude,3,2,H
Sao Paulo,Botafogo-RJ,2,2,D
Internacional,Palmeiras,2,1,H
Parana,Santos,2,3,A
Sport,Cruzeiro,1,0,H
Flamengo,Athletico-PR,2,0,H
Atletico-MG,Goias,4,1,H
Figueirense,Nautico,2,0,H
Corinthians,Vasco,0,1,A
Athletico-PR,Sao Paulo,2,1,H
Santos,Fluminense,2,4,A
Nautico,Flamengo,1,0,H
Palmeiras,Atletico-MG,1,3,A
Cruzeiro,America-RN,2,0,H
Gremio,Corinthians,1,1,D
Goias,Internacional,2,1,H
Vasco,Parana,3,0,H
Botafogo-RJ,Figueirense,1,1,D
Juventude,Sport,2,1,H
Nautico,Goias,2,1,H
Sao Paulo,Gremio,0,1,A
Vitoria,Cruzeiro,0,2,A
Coritiba,Palmeiras,2,0,H
Internacional,Vasco,1,0,H
Botafogo-RJ,Sport,2,0,H
Ipatinga,Athletico-PR,0,1,A
Portuguesa,Figueirense,5,5,D
Atletico-MG,Fluminense,0,0,D
Flamengo,Santos,3,1,H
Cruzeiro,Botafogo-RJ,1,0,H
Sport,Vitoria,0,0,D
Vasco,Portuguesa,3,1,H
Gremio,Flamengo,0,0,D
Athletico-PR,Sao Paulo,1,1,D
Fluminense,Nautico,0,2,A
Goias,Atletico-MG,1,1,D
Figueirense,Coritiba,2,1,H
Palmeiras,Internacional,2,1,H
Santos,Ipatinga,4,0,H
Gremio,Nautico,2,0,H
Flamengo,Internacional,2,1,H
Vitoria,Figueirense,4,0,H
Cruzeiro,Santos,4,0,H
Sao Paulo,Coritiba,1,1,D
Sport,Fluminense,2,1,H
Goias,Ipatinga,1,1,D
Athletico-PR,Atletico-MG,1,1,D
Portuguesa,Palmeiras,1,1,D
Botafogo-RJ,Vasco,1,1,D
Vasco,Gremio,2,1,H
Internacional,Sport,1,1,D
Figueirense,Goias,0,0,D
Santos,Sao Paulo,0,0,D
Coritiba,Cruzeiro,1,1,D
Nautico,Botafogo-RJ,3,0,H
Ipatinga,Vitoria,2,0,H
Palmeiras,Athletico-PR,1,0,H
Atletico-MG,Portuguesa,2,0,H
Fluminense,Flamengo,0,1,A
Sao Paulo,Atletico-MG,5,1,H
Flamengo,Figueirense,5,0,H
Ipatinga,Nautico,0,0,D
Portuguesa,Internacional,3,1,H
Gremio,Fluminense,2,1,H
Sport,Palmeiras,2,0,H
Athletico-PR,Goias,5,0,H
Botafogo-RJ,Coritiba,2,1,H
Cruzeiro,Vasco,1,0,H
Vitoria,Santos,1,0,H
Fluminense,Santos,1,1,D
Palmeiras,Cruzeiro,5,2,H
Atletico-MG,Ipatinga,4,2,H
Flamengo,Sao Paulo,2,4,A
Internacional,Botafogo-RJ,2,1,H
Figueirense,Sport,3,1,H
Portuguesa,Athletico-PR,1,0,H
Coritiba,Vitoria,0,0,D
Nautico,Vasco,1,1,D
Goias,Gremio,0,3,A
Botafogo-RJ,Portuguesa,0,1,A
Sao Paulo,Sport,1,0,H
Cruzeiro,Figueirense,3,0,H
Coritiba,Fluminense,2,1,H
Ipatinga,Flamengo,1,3,A
Vitoria,Internacional,2,1,H
Vasco,Palmeiras,0,2,A
Gremio,Athletico-PR,3,0,H
Santos,Goias,0,4,A
Nautico,Atletico-MG,2,1,H
Vasco,Ipatinga,4,2,H
Vitoria,Goias,3,0,H
Portuguesa,Santos,0,0,D
Cruzeiro,Sao Paulo,1,1,D
Figueirense,Atletico-MG,1,1,D
Sport,Flamengo,1,2,A
Athletico-PR,Coritiba,1,1,D
Gremio,Internacional,1,1,D
Fluminense,Botafogo-RJ,0,0,D
Palmeiras,Nautico,2,0,H
Sport,Cruzeiro,1,0,H
Athletico-PR,Santos,1,0,H
Flamengo,Nautico,3,0,H
Figueirense,Vasco,2,1,H
Portuguesa,Vitoria,1,2,A
Atletico-MG,Palmeiras,1,1,D
Internacional,Coritiba,3,0,H
Botafogo-RJ,Gremio,2,0,H
Sao Paulo,Ipatinga,1,1,D
Goias,Fluminense,1,0,H
Sao Paulo,Palmeiras,2,1,H
Cruzeiro,Atletico-MG,2,1,H
Athletico-PR,Internacional,1,1,D
Santos,Botafogo-RJ,2,2,D
Ipatinga,Figueirense,0,1,A
Gremio,Portuguesa,2,1,H
Nautico,Sport,0,2,A
Flamengo,Vasco,3,1,H
Internacional,Goias,1,0,H
Coritiba,Portuguesa,4,0,H
Fluminense,Athletico-PR,3,0,H
Vitoria,Botafogo-RJ,5,2,H
Atletico-MG,Flamengo,1,1,D
Santos,Gremio,1,1,D
Nautico,Sao Paulo,2,1,H
Palmeiras,Figueirense,1,1,D
Ipatinga,Cruzeiro,2,2,D
Vasco,Sport,4,0,H
Fluminense,Vitoria,2,1,H
Goias,Coritiba,2,2,D
Sport,Gremio,2,2,D
Botafogo-RJ,Ipatinga,4,0,H
Figueirense,Santos,3,0,H
Portuguesa,Nautico,3,2,H
Cruzeiro,Athletico-PR,1,0,H
Palmeiras,Fluminense,3,1,H
Vitoria,Sao Paulo,1,3,A
Vasco,Goias,1,1,D
Internacional,Atletico-MG,1,0,H
Coritiba,Flamengo,1,0,H
Palmeiras,Santos,4,2,H
Figueirense,Gremio,1,7,A
Sport,Athletico-PR,1,0,H
Ipatinga,Portuguesa,4,1,H
Fluminense,Figueirense,1,0,H
Gremio,Cruzeiro,1,0,H
Athletico-PR,Vasco,3,1,H
Goias,Palmeiras,3,2,H
Santos,Sport,1,0,H
Nautico,Internacional,1,1,D
Flamengo,Vitoria,0,1,A
Sao Paulo,Botafogo-RJ,2,1,H
Atletico-MG,Coritiba,3,2,H
Coritiba,Ipatinga,1,0,H
Cruzeiro,Goias,0,1,A
Vitoria,Nautico,2,0,H
Vasco,Fluminense,3,3,D
Internacional,Sao Paulo,2,0,H
Portuguesa,Flamengo,2,2,D
Botafogo-RJ,Atletico-MG,4,0,H
Nautico,Coritiba,1,2,A
Ipatinga,Internacional,1,0,H
Fluminense,Cruzeiro,1,3,A
Santos,Vasco,5,2,H
Gremio,Palmeiras,1,1,D
Athletico-PR,Figueirense,0,0,D
Goias,Sport,1,2,A
Atletico-MG,Vitoria,2,1,H
Flamengo,Botafogo-RJ,0,0,D
Sao Paulo,Portuguesa,3,1,H
Cruzeiro,Nautico,4,2,H
Vitoria,Athletico-PR,2,1,H
Portuguesa,Fluminense,3,1,H
Botafogo-RJ,Goias,2,0,H
Palmeiras,Flamengo,1,0,H
Figueirense,Sao Paulo,1,1,D
Internacional,Santos,0,1,A
Sport,Ipatinga,3,1,H
Vasco,Atletico-MG,6,1,H
Coritiba,Gremio,0,1,A
Goias,Portuguesa,4,0,H
Nautico,Figueirense,1,2,A
Fluminense,Internacional,1,2,A
Gremio,Vitoria,2,0,H
Ipatinga,Palmeiras,1,2,A
Flamengo,Cruzeiro,1,2,A
Sao Paulo,Vasco,4,0,H
Santos,Coritiba,1,3,A
Atletico-MG,Sport,2,1,H
Athletico-PR,Botafogo-RJ,0,3,A
Gremio,Ipatinga,1,0,H
Vasco,Coritiba,0,2,A
Athletico-PR,Nautico,2,0,H
Sport,Portuguesa,2,0,H
Santos,Atletico-MG,2,3,A
Goias,Flamengo,2,1,H
Fluminense,Sao Paulo,3,1,H
Palmeiras,Vitoria,3,0,H
Figueirense,Botafogo-RJ,1,2,A
Cruzeiro,Internacional,2,0,H
Flamengo,Athletico-PR,1,0,H
Sao Paulo,Goias,2,1,H
Atletico-MG,Gremio,0,4,A
Coritiba,Sport,3,0,H
Vitoria,Vasco,5,0,H
Portuguesa,Cruzeiro,2,1,H
Botafogo-RJ,Palmeiras,1,0,H
Ipatinga,Fluminense,2,1,H
Nautico,Santos,1,0,H
Internacional,Figueirense,1,1,D
Athletico-PR,Ipatinga,5,0,H
Figueirense,Portuguesa,2,1,H
Cruzeiro,Vitoria,2,1,H
Gremio,Sao Paulo,1,0,H
Santos,Flamengo,2,2,D
Vasco,Internacional,4,0,H
Goias,Nautico,3,0,H
Fluminense,Atletico-MG,1,0,H
Sport,Botafogo-RJ,0,1,A
Palmeiras,Coritiba,1,0,H
Vitoria,Sport,0,0,D
Coritiba,Figueirense,3,0,H
Botafogo-RJ,Cruzeiro,1,0,H
Sao Paulo,Athletico-PR,3,1,H
Internacional,Palmeiras,4,1,H
Nautico,Fluminense,1,3,A
Ipatinga,Santos,1,1,D
Portuguesa,Vasco,0,1,A
Atletico-MG,Goias,1,1,D
Flamengo,Gremio,2,1,H
Fluminense,Sport,1,1,D
Figueirense,Vitoria,1,2,A
Coritiba,Sao Paulo,2,2,D
Palmeiras,Portuguesa,4,2,H
Internacional,Flamengo,1,1,D
Santos,Cruzeiro,2,0,H
Ipatinga,Goias,1,0,H
Vasco,Botafogo-RJ,1,1,D
Atletico-MG,Athletico-PR,4,0,H
Nautico,Gremio,1,1,D
Goias,Figueirense,2,0,H
Vitoria,Ipatinga,0,0,D
Botafogo-RJ,Nautico,1,1,D
Gremio,Vasco,2,1,H
Sport,Internacional,1,0,H
Athletico-PR,Palmeiras,1,2,A
Sao Paulo,Santos,0,0,D
Portuguesa,Atletico-MG,1,1,D
Cruzeiro,Coritiba,1,1,D
Flamengo,Fluminense,2,2,D
Goias,Athletico-PR,4,0,H
Santos,Vitoria,2,0,H
Figueirense,Flamengo,2,3,A
Atletico-MG,Sao Paulo,1,1,D
Palmeiras,Sport,0,3,A
Vasco,Cruzeiro,1,3,A
Internacional,Portuguesa,1,0,H
Fluminense,Gremio,0,0,D
Nautico,Ipatinga,2,0,H
Coritiba,Botafogo-RJ,0,1,A
Gremio,Goias,1,2,A
Athletico-PR,Portuguesa,2,0,H
Ipatinga,Atletico-MG,3,2,H
Cruzeiro,Palmeiras,0,1,A
Sao Paulo,Flamengo,2,0,H
Sport,Figueirense,5,0,H
Vasco,Nautico,1,3,A
Santos,Fluminense,2,1,H
Vitoria,Coritiba,1,0,H
Botafogo-RJ,Internacional,1,2,A
Goias,Santos,4,1,H
Fluminense,Coritiba,2,3,A
Atletico-MG,Nautico,2,1,H
Sport,Sao Paulo,0,0,D
Athletico-PR,Gremio,0,0,D
Portuguesa,Botafogo-RJ,3,1,H
Figueirense,Cruzeiro,3,4,A
Palmeiras,Vasco,2,0,H
Internacional,Vitoria,1,0,H
Flamengo,Ipatinga,1,0,H
Goias,Vitoria,3,0,H
Flamengo,Sport,2,1,H
Atletico-MG,Figueirense,0,0,D
Coritiba,Athletico-PR,1,1,D
Nautico,Palmeiras,0,0,D
Sao Paulo,Cruzeiro,2,0,H
Ipatinga,Vasco,3,1,H
Internacional,Gremio,4,1,H
Santos,Portuguesa,1,1,D
Botafogo-RJ,Fluminense,1,1,D
Fluminense,Goias,1,1,D
Vitoria,Portuguesa,3,1,H
Cruzeiro,Sport,1,0,H
Gremio,Botafogo-RJ,2,1,H
Ipatinga,Sao Paulo,1,3,A
Palmeiras,Atletico-MG,3,1,H
Nautico,Flamengo,0,2,A
Santos,Athletico-PR,4,0,H
Coritiba,Internacional,4,2,H
Vasco,Figueirense,2,4,A
Gremio,Santos,2,0,H
Sport,Vasco,2,2,D
Figueirense,Palmeiras,0,0,D
Botafogo-RJ,Vitoria,3,1,H
Sao Paulo,Nautico,1,0,H
Cruzeiro,Ipatinga,1,0,H
Goias,Internacional,1,1,D
Portuguesa,Coritiba,0,0,D
Athletico-PR,Fluminense,1,3,A
Flamengo,Atletico-MG,0,3,A
Botafogo-RJ,Santos,0,1,A
Internacional,Athletico-PR,2,1,H
Figueirense,Ipatinga,1,1,D
Palmeiras,Sao Paulo,2,2,D
Vitoria,Fluminense,2,2,D
Coritiba,Goias,1,1,D
Atletico-MG,Cruzeiro,0,2,A
Portuguesa,Gremio,2,0,H
Sport,Nautico,2,2,D
Vasco,Flamengo,0,1,A
Goias,Vasco,2,4,A
Gremio,Sport,1,0,H
Flamengo,Coritiba,5,0,H
Sao Paulo,Vitoria,2,1,H
Fluminense,Palmeiras,3,0,H
Ipatinga,Botafogo-RJ,0,3,A
Santos,Figueirense,3,0,H
Athletico-PR,Cruzeiro,1,0,H
Nautico,Portuguesa,1,1,D
Atletico-MG,Internacional,2,2,D
Portuguesa,Ipatinga,2,0,H
Coritiba,Atletico-MG,2,1,H
Internacional,Nautico,1,1,D
Palmeiras,Goias,1,0,H
Botafogo-RJ,Sao Paulo,1,2,A
Cruzeiro,Gremio,3,0,H
Vitoria,Flamengo,0,0,D
Sport,Santos,1,1,D
Vasco,Athletico-PR,2,2,D
Flamengo,Portuguesa,2,2,D
Nautico,Vitoria,1,0,H
Ipatinga,Coritiba,2,0,H
Santos,Palmeiras,1,2,A
Goias,Cruzeiro,3,0,H
Athletico-PR,Sport,1,0,H
Atletico-MG,Botafogo-RJ,2,1,H
Fluminense,Vasco,0,1,A
Gremio,Figueirense,1,1,D
Sao Paulo,Internacional,3,0,H
Figueirense,Fluminense,0,1,A
Portuguesa,Sao Paulo,2,3,A
Vasco,Santos,1,0,H
Figueirense,Athletico-PR,0,2,A
Palmeiras,Gremio,0,1,A
Cruzeiro,Fluminense,1,0,H
Coritiba,Nautico,0,0,D
Sport,Goias,2,1,H
Botafogo-RJ,Flamengo,0,1,A
Internacional,Ipatinga,4,0,H
Vitoria,Atletico-MG,0,1,A
Atletico-MG,Vasco,4,1,H
Fluminense,Portuguesa,3,1,H
Ipatinga,Sport,3,0,H
Nautico,Cruzeiro,5,2,H
Flamengo,Palmeiras,5,2,H
Sao Paulo,Figueirense,3,1,H
Goias,Botafogo-RJ,3,1,H
Gremio,Coritiba,2,1,H
Athletico-PR,Vitoria,2,1,H
Santos,Internacional,1,0,H
Figueirense,Nautico,4,3,H
Botafogo-RJ,Athletico-PR,2,2,D
Portuguesa,Goias,0,0,D
Coritiba,Santos,5,1,H
Vitoria,Gremio,4,2,H
Cruzeiro,Flamengo,3,2,H
Vasco,Sao Paulo,1,2,A
Internacional,Fluminense,0,2,A
Sport,Atletico-MG,3,0,H
Palmeiras,Ipatinga,2,0,H
Coritiba,Vasco,0,2,A
Botafogo-RJ,Figueirense,1,3,A
Portuguesa,Sport,2,2,D
Nautico,Athletico-PR,2,1,H
Atletico-MG,Santos,0,0,D
Internacional,Cruzeiro,1,0,H
Vitoria,Palmeiras,0,0,D
Flamengo,Goias,3,3,D
Ipatinga,Gremio,1,4,A
Sao Paulo,Fluminense,1,1,D
Santos,Nautico,0,0,D
Vasco,Vitoria,0,2,A
Figueirense,Internacional,3,1,H
Athletico-PR,Flamengo,5,3,H
Sport,Coritiba,4,3,H
Cruzeiro,Portuguesa,4,1,H
Fluminense,Ipatinga,1,1,D
Palmeiras,Botafogo-RJ,0,1,A
Gremio,Atletico-MG,2,0,H
Goias,Sao Paulo,0,1,A
Sport,Barueri,1,1,D
Palmeiras,Coritiba,2,1,H
Avai,Atletico-MG,2,2,D
Corinthians,Internacional,0,1,A
Fluminense,Sao Paulo,1,0,H
Athletico-PR,Vitoria,0,2,A
Cruzeiro,Flamengo,2,0,H
Gremio,Santos,1,1,D
Santo Andre,Botafogo-RJ,1,1,D
Goias,Nautico,3,3,D
Coritiba,Santo Andre,2,4,A
Atletico-MG,Gremio,2,1,H
Flamengo,Avai,0,0,D
Santos,Goias,3,3,D
Sao Paulo,Athletico-PR,2,2,D
Barueri,Fluminense,0,0,D
Internacional,Palmeiras,2,0,H
Botafogo-RJ,Corinthians,0,0,D
Vitoria,Sport,1,0,H
Nautico,Cruzeiro,2,0,H
Corinthians,Barueri,2,1,H
Cruzeiro,Vitoria,2,0,H
Goias,Internacional,0,1,A
Palmeiras,Sao Paulo,0,0,D
Fluminense,Santos,1,4,A
Athletico-PR,Nautico,2,3,A
Gremio,Botafogo-RJ,2,0,H
Sport,Atletico-MG,2,3,A
Avai,Coritiba,2,2,D
Santo Andre,Flamengo,1,2,A
Botafogo-RJ,Sport,2,2,D
Coritiba,Goias,1,3,A
Atletico-MG,Santo Andre,0,0,D
Sao Paulo,Cruzeiro,3,0,H
Santos,Corinthians,3,1,H
Flamengo,Athletico-PR,2,1,H
Nautico,Fluminense,1,1,D
Vitoria,Gremio,1,0,H
Barueri,Palmeiras,2,2,D
Internacional,Avai,2,1,H
Goias,Corinthians,0,0,D
Fluminense,Gremio,0,0,D
Coritiba,Flamengo,5,0,H
Atletico-MG,Nautico,3,0,H
Barueri,Avai,3,1,H
Palmeiras,Cruzeiro,3,1,H
Internacional,Vitoria,0,0,D
Gremio,Nautico,3,0,H
Santo Andre,Santos,3,3,D
Corinthians,Coritiba,2,0,H
Palmeiras,Vitoria,2,1,H
Athletico-PR,Atletico-MG,0,4,A
Sport,Flamengo,4,2,H
Avai,Sao Paulo,0,0,D
Cruzeiro,Internacional,1,1,D
Goias,Barueri,2,2,D
Fluminense,Botafogo-RJ,1,0,H
Sao Paulo,Santo Andre,1,1,D
Sport,Athletico-PR,0,1,A
Botafogo-RJ,Santos,2,0,H
Athletico-PR,Palmeiras,2,2,D
Vitoria,Botafogo-RJ,4,3,H
Santo Andre,Sport,2,1,H
Gremio,Goias,2,2,D
Avai,Fluminense,3,2,H
Nautico,Coritiba,0,1,A
Corinthians,Sao Paulo,3,1,H
Santos,Atletico-MG,2,3,A
Cruzeiro,Barueri,2,4,A
Flamengo,Internacional,4,0,H
Athletico-PR,Corinthians,1,0,H
Barueri,Atletico-MG,4,2,H
Sao Paulo,Nautico,2,0,H
Cruzeiro,Avai,1,0,H
Botafogo-RJ,Goias,1,4,A
Palmeiras,Santos,1,1,D
Internacional,Coritiba,3,0,H
Vitoria,Santo Andre,4,1,H
Sport,Gremio,3,1,H
Fluminense,Flamengo,0,0,D
Santos,Sport,1,0,H
Santo Andre,Barueri,1,1,D
Flamengo,Vitoria,2,1,H
Coritiba,Sao Paulo,2,0,H
Goias,Cruzeiro,1,0,H
Atletico-MG,Botafogo-RJ,1,1,D
Gremio,Athletico-PR,4,1,H
Avai,Palmeiras,0,3,A
Nautico,Internacional,0,2,A
Corinthians,Fluminense,4,2,H
Barueri,Coritiba,3,1,H
Avai,Botafogo-RJ,1,2,A
Palmeiras,Nautico,4,1,H
Cruzeiro,Atletico-MG,0,3,A
Athletico-PR,Internacional,3,2,H
Gremio,Corinthians,3,0,H
Sao Paulo,Flamengo,2,2,D
Vitoria,Santos,6,2,H
Sport,Goias,1,0,H
Fluminense,Santo Andre,0,1,A
Goias,Avai,0,2,A
Coritiba,Gremio,2,1,H
