HomeTeam,AwayTeam,FTHG,FTAG,FTR
Vitoria,Athletico-PR,1,0,H
Cruzeiro,Internacional,3,2,H
Parana,Atletico-MG,1,1,D
Vasco,Parana,1,4,A
Sao Paulo,Sao Caetano,1,1,D
Figueirense,Cruzeiro,1,0,H
Atletico-MG,Paysandu,3,2,H
Gremio,Flamengo,2,0,H
Guarani,Goias,3,2,H
Athletico-PR,Corinthians,3,1,H
Juventude,Internacional,1,1,D
Fortaleza,Criciuma,0,1,A
Vitoria,Ponte Preta,1,4,A
Santos,Coritiba,3,1,H
Fluminense,Bahia,1,0,H
Sao Caetano,Athletico-PR,0,0,D
Corinthians,Santos,1,1,D
Cruzeiro,Fortaleza,2,0,H
Bahia,Guarani,2,0,H
Paysandu,Figueirense,1,0,H
Goias,Vitoria,1,1,D
Flamengo,Juventude,2,1,H
Internacional,Vasco,2,1,H
Coritiba,Sao Paulo,0,2,A
Ponte Preta,Fluminense,3,0,H
Criciuma,Atletico-MG,1,0,H
Parana,Gremio,3,1,H
Athletico-PR,Goias,0,0,D
Fortaleza,Internacional,3,0,H
Vasco,Paysandu,0,2,A
Atletico-MG,Flamengo,1,0,H
Ponte Preta,Bahia,1,0,H
Corinthians,Coritiba,0,1,A
Criciuma,Juventude,3,0,H
Figueirense,Parana,4,2,H
Sao Caetano,Guarani,0,2,A
Fluminense,Sao Paulo,1,3,A
Gremio,Cruzeiro,0,1,A
Vitoria,Santos,2,0,H
Flamengo,Fortaleza,0,2,A
Juventude,Figueirense,1,2,A
Bahia,Sao Caetano,0,0,D
Coritiba,Fluminense,3,0,H
Guarani,Vitoria,2,2,D
Internacional,Atletico-MG,3,3,D
Santos,Ponte Preta,2,1,H
Cruzeiro,Vasco,4,1,H
Goias,Corinthians,1,1,D
Paysandu,Gremio,1,1,D
Sao Paulo,Athletico-PR,2,0,H
Fluminense,Santos,1,4,A
Corinthians,Guarani,1,0,H
Fortaleza,Atletico-MG,4,3,H
Internacional,Figueirense,3,0,H
Juventude,Paysandu,2,0,H
Athletico-PR,Bahia,2,1,H
Ponte Preta,Coritiba,1,1,D
Criciuma,Flamengo,4,3,H
Goias,Sao Caetano,2,1,H
